"","V101","race","gender","commonweight_vv"
"10957",302620466,3,1,0.544677789862614
"9276",302590952,1,1,0.386429407499722
"9561",302597824,1,2,0.395075341412839
"45975",303764942,1,2,0.141368953214814
"45246",303697117,1,1,0.405825858199697
"18204",302897331,1,2,1.23732076774322
"55357",304439846,1,2,1.00422334917288
"25525",303196473,1,1,0.832192552336334
"49513",304002119,2,2,3.11643206330126
"58121",304673638,1,1,0.827850825034512
"17243",302852160,1,2,1.73597731161383
"19623",302985140,1,1,1.25356490352359
"59433",304784070,1,1,1.66529994259415
"51607",304130840,2,2,0.431911748720717
"6816",302551140,1,1,1.34191286982307
"29451",303255966,1,2,1.30139308697177
"40895",303524816,1,2,1.08054285464507
"32891",303329004,1,1,0.781099894884791
"54041",304313733,1,2,0.600110769610723
"9030",302586973,1,2,0.879787240447461
"27183",303212347,3,2,0.288604490291836
"64209",305991078,2,2,0.577066789967762
"32257",303319932,1,2,0.0985467795263866
"12115",302647352,1,1,0.722401645779828
"2853",302482811,1,2,0.804904731697591
"33573",303335857,1,2,1.27797709497878
"7662",302564653,7,2,0.321995964046373
"22575",303131164,1,2,0.444286593977396
"59270",304758185,1,1,2.16089599051061
"46337",303792186,1,2,0.513331147540731
"30528",303289662,2,2,2.26915871460439
"8465",302576983,3,2,0.216787034375454
"61056",304960419,1,1,0.504452941202783
"20112",303014535,1,1,0.780773477304387
"55713",304482262,1,1,0.74567342017187
"35617",303371861,1,2,1.3023119011776
"33577",303335868,2,2,0.931119441288985
"31987",303316839,4,2,1.00202935136394
"34412",303348860,1,2,2.00701909685378
"1285",302328102,1,2,0.282324718544107
"23112",303152143,3,2,0.229466780581416
"8810",302583742,1,1,0.733586980833362
"60404",304956795,1,1,0.637460454705171
"37705",303450230,2,1,0.125084121619138
"46325",303789762,1,2,1.31553156729315
"60748",304957954,1,1,1.07420275961011
"58019",304673299,1,1,0.678967442018024
"26584",303207194,1,1,1.14635984884487
"51522",304127611,1,2,2.15116544007847
"9797",302601279,8,1,0.156558042205485
"8436",302576692,1,1,0.470601108166783
"23838",303178421,2,2,0.623740899656424
"18129",302894119,1,2,0.547682862372937
"2213",302474209,1,1,0.737252789973622
"31613",303311526,1,1,1.30469832308202
"3112",302487051,1,1,1.09784526016843
"12250",302652213,1,2,2.35405843972608
"16069",302798987,1,1,2.08848447531056
"15736",302788331,1,2,0.610967812208453
"46840",303812669,1,2,0.554781787942274
"45063",303690018,1,2,0.855947206082809
"36938",303424406,1,2,1.56289062843216
"17227",302852023,1,1,1.18866876652121
"37235",303436846,1,1,1.21700331606564
"9166",302589944,1,2,0.665295009817453
"33077",303329676,2,2,1.48199735940337
"43026",303620113,1,2,1.05795647591289
"10019",302604014,1,1,0.807449545230846
"35176",303363938,1,2,1.140401527206
"32555",303323319,1,2,0.0834831895330328
"26890",303208904,1,2,1.01647282799185
"58269",304674133,1,1,0.201487611631404
"22185",303117177,1,1,0.815318994226778
"44573",303665180,1,2,2.45342807641148
"5570",302535499,1,1,0.585816133014015
"3334",302509979,1,2,0.295348696586437
"57023",304588085,1,2,0.875566424969647
"45370",303703516,1,1,0.659336065249987
"14457",302738377,1,2,1.12230504585064
"38872",303474389,1,1,0.683241284494137
"20984",303061267,2,2,0.416479687647099
"63570",305431649,1,1,0.15592128338802
"50767",304090093,1,2,1.15196436369943
"5201",302531378,1,2,0.670423537854201
"56227",304484014,1,1,0.78608722873552
"61933",305182738,1,2,0.330240640927873
"31299",303302944,1,1,1.62343023766608
"58594",304675195,4,1,0.438124432942217
"49188",303983616,1,1,0.314343074456964
"38208",303463482,1,2,2.04721902014385
"11957",302643851,1,2,0.597420202244152
"56376",304494274,3,2,0.446558182743507
"54992",304388159,2,1,0.738124695490223
"31339",303304923,1,2,0.5988140186705
"48099",303878858,3,2,1.28398154048677
"35634",303374108,3,2,0.88421748682525
"55684",304478676,1,2,0.63448245170512
"53451",304255870,3,1,1.21077120819442
"10781",302616548,1,2,1.30653907832206
"44136",303650086,1,2,0.756066903579511
"10418",302610063,1,2,0.516523129064023
"15804",302790720,2,2,0.575103181924024
"61133",304961111,1,1,1.42238562525649
"51431",304124366,1,2,1.55473731283679
"38811",303473970,1,1,0.556402570118076
"62411",305272888,2,2,0.172400151852612
"42659",303609779,1,1,0.476190026317064
"17045",302842783,5,1,0.727810415141889
"34144",303344892,1,2,3.17311298003795
"9579",302597921,1,2,0.301099784749858
"29448",303255890,1,1,0.153030239672223
"38400",303466916,2,1,3.1710005982396
"26410",303204485,1,2,1.55833844128292
"23530",303169708,1,2,1.15386011999967
"47223",303828301,1,2,0.660665457704865
"14010",302718062,1,2,1.33828682090954
"43322",303626880,1,1,1.46293530767305
"4153",302518561,1,1,0.179779460468404
"39822",303498160,1,1,0.814434264344552
"9727",302600714,1,2,0.755224581648371
"15632",302785229,1,1,1.49718829772037
"6263",302544203,1,2,0.585556667641382
"64116",305840821,1,2,0.546203690149239
"11847",302641262,1,2,1.15097660874201
"34980",303360153,1,2,1.45173982202433
"37144",303433364,2,1,1.42288497758803
"44341",303657442,1,1,1.01903672771795
"45486",303712141,1,1,0.627574928353792
"39259",303482835,1,2,1.21533276296119
"29759",303268121,1,2,1.35066660201046
"15769",302790319,1,2,0.738812220654383
"8686",302581269,1,2,0.91739763071092
"18593",302918651,3,2,0.29438655225122
"46597",303801645,1,2,0.796406465303364
"59287",304761013,2,2,0.269865679500022
"7733",302565165,1,1,0.50015917316639
"3113",302487053,1,1,0.597906555211979
"61595",305078979,1,1,0.269161145580783
"55137",304409925,1,2,0.166258240714523
"11835",302641206,1,2,0.501150050593022
"4179",302518703,1,1,0.639844759705932
"44731",303672575,1,2,0.933391289745218
"54509",304349304,3,1,0.110082574175703
"34589",303352753,1,1,1.80101424645754
"29321",303252012,1,2,0.934722981946688
"45189",303694050,4,1,0.310422798181571
"61434",305046859,1,2,0.616022390466174
"16771",302830467,1,1,0.131172322071004
"38178",303463234,1,2,0.146997549181944
"46042",303768448,1,2,1.06885714956205
"10065",302604712,1,2,0.679083897138002
"16890",302835399,3,1,2.45983154044317
"60527",304957213,1,1,0.42891032156368
"51941",304150382,1,1,1.11839799614967
"63767",305693910,2,1,0.825435833728978
"2558",302478672,1,1,1.05266989713903
"49401",303995668,1,2,0.778219033672102
"45960",303764729,1,2,0.891742246347843
"25010",303192244,2,1,0.458535870581582
"16479",302816141,1,2,0.716237272045533
"59990",304955346,1,1,0.815459446679237
"42338",303598927,1,1,0.870819770475522
"53708",304272490,1,2,1.02643266814596
"32101",303317207,1,2,1.02439955296105
"45223",303695098,1,2,1.08840653764016
"846",301957781,1,1,0.943370730507536
"31353",303305335,5,2,0.651137779459248
"19816",302997264,1,1,0.991909844293322
"14638",302745058,1,2,0.207177869648238
"60826",304958505,1,1,0.761336732546286
"19929",303003751,1,1,1.06912830851844
"55476",304451971,2,2,1.00921794763548
"35341",303367379,1,2,0.572341104474701
"31392",303305499,1,2,0.196152527385825
"12973",302676858,1,1,1.39243158874865
"21873",303102192,1,1,0.75346357102983
"13031",302679321,1,2,1.07332320127089
"3414",302510528,3,1,2.17665802236382
"21702",303095065,4,1,0.720382517161507
"53289",304249083,3,2,1.05887771331716
"62120",305236652,3,2,0.263979055133465
"5716",302537735,5,2,0.874672594207834
"29557",303260000,1,1,3.25602706362825
"14731",302748528,1,2,0.445487765256506
"50191",304067952,1,1,0.552800292782596
"3502",302511098,1,1,0.915827113275906
"52202",304186342,1,2,0.579967888751874
"54350",304335992,3,2,0.264634079611905
"14338",302734568,6,2,0.255026547356455
"15697",302787602,2,2,0.527418720291702
"53869",304299882,1,1,0.769444397465945
"54585",304356533,5,1,0.233761118468573
"15110",302764826,1,1,0.807320957448407
"63895",305730160,1,1,1.51024456697953
"5695",302536463,1,2,0.867508086473806
"5187",302531285,1,2,0.647518850023291
"45495",303712381,1,2,0.53562902149164
"19769",302994097,1,1,0.463274438492555
"56872",304555963,4,1,0.538623966135042
"30359",303285192,1,2,0.515474211967524
"44778",303673128,1,1,1.00200853289552
"11910",302642803,1,2,1.22173270026389
"9013",302586857,7,2,0.887880139054552
"61024",304960153,1,1,1.85782126488952
"55526",304456912,1,2,2.17843371732068
"32954",303329249,1,2,0.281881722893433
"64185",305954171,1,2,0.85299653435307
"20393",303030990,1,1,0.780679978760382
"6268",302544229,1,2,0.634753107022784
"42178",303592039,1,2,2.29895695831877
"28638",303234565,2,1,0.610825244830222
"21486",303084695,1,2,0.905198703006503
"18988",302944038,1,1,0.623020553957608
"14023",302718336,1,1,1.47463847810009
"1422",302402531,7,1,0.288344735042095
"18189",302897026,1,2,0.570916122325462
"5036",302528767,1,1,0.93910894724893
"200",301366653,6,1,6.93089150212777
"55833",304482652,1,1,2.52993506941457
"37616",303447331,1,1,1.27584645537265
"50540",304081773,1,2,0.794237939046532
"14014",302718172,1,2,0.822832228915213
"23053",303149461,1,2,1.97149955574174
"9503",302596348,1,1,1.00472489377119
"40644",303517584,1,2,0.508042058459948
"39147",303480676,2,2,0.418524737266042
"14942",302758626,1,2,0.645695712470823
"23376",303163110,1,1,1.55257338217239
"19940",303003882,1,1,0.146106059914227
"62195",305252479,1,2,0.55177917564914
"47973",303869413,4,1,0.113640763146827
"24841",303189209,1,2,0.437484050124447
"18512",302915003,1,2,0.411539398276039
"56121",304483594,1,1,0.758207603861994
"5754",302538150,1,2,1.25497235702877
"17609",302870657,2,2,0.666188101196459
"8952",302586379,1,2,1.73436383061495
"35495",303370738,1,2,1.07817768926062
"46681",303804992,2,2,0.169759427375072
"18625",302920846,1,1,0.627697069444261
"24059",303181849,3,2,0.502724568982244
"55975",304483093,3,2,1.16251010392907
"9159",302589861,1,2,0.756173981102329
"35618",303371887,1,2,0.652875709900525
"32762",303326342,1,2,1.13158099782371
"32728",303326213,1,2,3.88016132108949
"30767",303295538,1,1,0.235904426544005
"2963",302485510,1,2,0.900310740464786
"11574",302635231,1,2,0.969856168372987
"97",301184882,2,2,0.37516775482674
"61604",305081045,3,2,0.124529570451095
"11120",302624233,1,2,0.998995212260709
"24118",303183230,1,2,1.16505999367461
"14087",302722361,2,2,0.929975629279902
"24795",303189070,1,1,2.94880904466848
"1986",302472264,1,1,0.553363412672758
"6058",302541804,1,1,2.24462463767112
"6011",302541414,1,2,0.353746169989718
"9655",302598669,1,1,0.17830464327848
"17296",302855253,1,2,1.36349783459197
"22665",303134423,1,1,1.64511763406466
"64014",305753099,8,2,0.282379872662335
"48534",303931049,1,2,0.598018785419804
"9428",302594034,1,1,0.0990371932413784
"11875",302641488,1,1,2.20473549300585
"7938",302568763,1,2,1.43243300071639
"4997",302528503,1,2,1.44202424109986
"63016",305301354,1,1,1.13001231522546
"40851",303521790,1,1,1.0151089402401
"58945",304695481,2,1,2.77312726768953
"46545",303800156,4,1,0.987301581882611
"44139",303650189,1,1,0.249266723655993
"11283",302627549,2,2,0.579088965140224
"28069",303223026,2,2,0.674943422869268
"38491",303468745,1,1,0.687573607426251
"9131",302588695,1,2,0.567302127308593
"57615",304648029,1,2,1.08283811536068
"50566",304082000,2,1,0.454946871568839
"19553",302981522,1,1,0.762324320099755
"52593",304212410,2,2,0.816582225780871
"41606",303547797,1,1,1.06515778745264
"25038",303192351,1,1,0.784515793284701
"56652",304527870,3,2,0.654923577303355
"34552",303352572,4,1,0.416162485090894
"49753",304019594,1,2,0.580707101476239
"45489",303712214,2,2,0.366673462472368
"15100",302764277,1,1,0.543174333694043
"25832",303199873,1,1,8.0916200989256
"57236",304607066,3,2,0.432228224175313
"48719",303945493,1,1,0.584713869393937
"5803",302538463,2,1,0.639403022782388
"44171",303651238,1,2,0.890168236706449
"41160",303531753,4,1,0.201893166225099
"38518",303469904,1,2,1.00483890366221
"19836",302998519,2,2,0.830193808734983
"29981",303276093,1,2,0.991138120975215
"45596",303723536,1,1,1.05110548185772
"60286",304956380,8,1,0.264584501056648
"22112",303113262,1,1,2.04424069483665
"43370",303627516,1,1,0.670623031172192
"53664",304267268,4,2,0.380484341784355
"63546",305390658,1,2,0.776280743176813
"55869",304482772,1,1,0.569885556344346
"40468",303513472,1,1,0.793914068118142
"19808",302997233,2,2,0.404105016026607
"13622",302702900,1,1,0.990485043983436
"14562",302741929,3,2,0.133799798865317
"16155",302802901,1,1,0.72724280400269
"52384",304201455,1,2,0.375098695470288
"31916",303316624,1,1,0.389038601539763
"13102",302682153,1,1,1.54630645515694
"56099",304483544,1,1,0.511860152102421
"27345",303215205,1,1,1.33730015182334
"6795",302550954,7,1,1.19607692807646
"44908",303680065,1,1,0.287136413578247
"2701",302481509,1,2,0.917448141355769
"19366",302968900,2,2,0.117597674665285
"24361",303185110,1,1,2.54638224044607
"12814",302671109,2,1,0.286517692167586
"13956",302717048,1,1,0.985032137618005
"13624",302702906,1,1,0.447004787939728
"8222",302572604,1,1,0.940475218231239
"18111",302893952,1,2,0.053865742521235
"50174",304067380,1,1,0.174184415804044
"12210",302650127,1,1,1.19439713258074
"54561",304353675,1,2,0.96367681207923
"39256",303482560,2,1,1.03940804840723
"51097",304106679,1,2,0.700137411756446
"57257",304609251,1,1,0.379311070516057
"14688",302747961,1,2,0.517271971899866
"13111",302683124,6,2,1.15898961722275
"384",301407177,1,1,0.534420595807214
"7116",302555089,1,2,0.389063841060597
"43412",303629805,2,2,0.21871311142338
"42826",303613494,1,2,1.1339870706202
"29187",303247425,3,2,0.485075475156851
"24781",303188998,1,1,0.285405455469925
"61875",305167626,1,1,0.981339582199468
"44588",303665386,4,1,0.739695909428801
"5463",302534831,1,2,2.08014503546155
"7349",302558482,1,1,0.774362561088726
"37290",303437539,1,2,1.56704071243698
"5366",302532629,1,1,1.43546831392609
"28002",303221750,1,2,0.0626352259660151
"60705",304957812,7,1,0.685159183650769
"11116",302624209,1,2,1.34869586383197
"12350",302654925,1,2,0.746851772996157
"47366",303835711,1,1,0.686415241315165
"38791",303473850,1,2,0.770125036107852
"18932",302940808,1,2,0.846483977939737
"27657",303218937,1,2,0.51786102985149
"3801",302514680,1,1,0.60705421182934
"13298",302689625,1,1,0.538212743794959
"62190",305252365,1,2,0.399055896296881
"63524",305351465,1,2,0.541185087062024
"45151",303693602,1,1,1.01335411392943
"28639",303234568,3,1,1.44909721938866
"45293",303697734,1,2,0.802651149389731
"21777",303097574,1,2,1.66458854420296
"8182",302572297,1,2,0.589343836456104
"50290",304071128,1,1,0.997402062410183
"35179",303363946,2,2,0.256215930613159
"45593",303723481,3,1,1.93618098202686
"40121",303507053,2,1,1.98296447199715
"62515",305277413,1,1,3.09205107825423
"59044",304728884,3,2,0.156169912601909
"44036",303647680,1,1,0.79694498459076
"21135",303068414,1,2,1.02395238527629
"24567",303187067,1,1,1.85255773176529
"48713",303944950,1,1,1.81056758167029
"51367",304121221,1,2,0.68931973593594
"33859",303340471,1,1,0.842107004455232
"7667",302564686,1,2,0.60619717511005
"1342",302393260,1,2,1.5947390486481
"26199",303203475,2,1,0.948059469039572
"521",301413265,1,1,0.56325603735995
"45676",303735333,6,1,1.2204292867373
"21361",303079290,1,1,0.78631312009651
"39109",303479066,6,2,0.725376285038666
"43502",303630451,1,2,0.0402319778141094
"52912",304228425,1,2,0.563958837742635
"50013",304055250,1,2,0.744921762981694
"57600",304645210,1,2,0.712483695331051
"61583",305076687,2,2,0.885895690499565
"39303",303483999,6,2,0.356930419862831
"57894",304672879,1,1,0.437997821438057
"46485",303796931,1,2,0.875438395988275
"40422",303513136,1,1,0.64365740697588
"37376",303440546,1,2,0.177334163645967
"30590",303290803,1,2,0.922544716687103
"38289",303464099,1,1,0.805833058770897
"36733",303412147,1,1,0.715014575632286
"62449",305273110,3,1,2.2146646348357
"7142",302556088,1,2,1.15282772744173
"54112",304319090,1,1,0.637647566909167
"51973",304152988,1,1,0.361190631275771
"18825",302933666,1,1,0.688337002194175
"37790",303451291,1,1,0.941951237554777
"43211",303626153,2,2,0.832686792874321
"25029",303192325,3,2,0.0987021005919137
"27307",303215042,1,2,1.24010453709136
"51098",304107117,1,1,0.357955247848635
"6864",302551423,1,1,0.508006777324359
"58074",304673481,1,1,0.816780729402994
"2872",302482979,1,1,0.300394149409769
"4903",302528014,1,2,1.61469622352907
"63469",305344135,1,2,1.37804727532316
"51429",304124354,4,1,0.99935442390663
"12407",302656722,2,2,1.0710567023706
"38814",303473998,1,1,0.52271117261076
"52284",304192395,2,1,0.895095408283206
"24103",303182945,2,2,0.677730906197023
"61018",304960125,1,1,1.13198117400679
"30757",303295326,1,1,0.588097469690798
"31446",303305822,2,2,1.32633004223588
"50691",304087173,1,2,0.854883926414703
"47929",303866565,6,2,2.40174552184164
"15761",302790248,1,2,0.175182990724276
"9592",302598015,1,2,0.60341833591752
"3861",302515097,1,1,1.05266989713903
"59684",304878064,1,2,0.866510696038012
"28393",303229677,3,1,0.972034989926821
"27874",303219931,1,1,0.751704504849032
"10260",302607672,3,1,0.613726043016509
"40266",303508993,1,1,0.628351554848431
"22141",303115229,1,2,0.584392542532333
"18886",302938015,1,2,0.624990008441699
"47709",303855284,5,2,0.33542672019163
"31579",303310123,1,2,0.233820996908822
"43040",303621110,1,1,2.21172728031061
"43621",303633603,3,2,0.100572036282047
"59117",304738554,3,2,0.297904827375212
"54360",304338353,2,2,0.793103860155413
"5124",302529458,1,1,1.46786483594793
"43933",303646094,2,1,0.764680228380015
"6279",302544340,1,2,1.63141919967987
"27942",303220272,1,2,0.995034668297917
"16403",302813502,1,1,0.759957054132082
"42980",303619665,1,1,0.993032893504573
"57639",304648814,4,2,0.243968540114816
"31334",303304680,3,2,0.688964594982216
"5292",302532093,1,1,0.282811316038538
"33865",303340624,7,1,1.97578781701992
"31533",303308525,3,2,2.96001088702477
"31688",303313174,1,1,0.631481775838807
"3368",302510152,1,2,0.198396340190902
"14836",302753833,1,2,1.48166397345032
"46717",303805447,1,1,0.221316238055676
"25301",303193429,1,2,0.263644973795849
"31531",303308501,1,1,1.10931696463837
"54024",304311197,3,2,4.80293778789657
"3207",302499313,1,1,2.18106879649082
"13072",302681512,1,2,1.00372587446524
"6439",302546252,1,1,1.11699721420295
"9042",302587054,1,1,1.70122003323427
"28547",303232117,3,2,0.185108007268177
"39854",303500486,2,2,0.195534668090531
"42109",303586646,7,1,0.815350534242116
"35718",303374587,5,1,0.780773477304387
"34962",303360065,1,2,0.691174386796632
"14909",302755766,1,1,0.735644231685686
"25422",303196122,2,2,0.406020511922263
"46261",303786055,2,1,0.747959411708398
"26043",303200699,1,2,0.609860945212841
"59342",304769655,7,1,0.163024625767373
"62271",305268149,1,1,3.15922105314601
"27609",303218747,1,2,0.992003877938455
"41263",303535089,6,1,0.935409718930435
"23909",303179890,1,2,0.328674986149335
"23441",303165953,1,2,0.999061584005541
"26887",303208642,1,1,0.772685900075135
"9473",302594491,3,2,0.141130695803874
"18607",302919499,1,2,0.368678301159014
"42467",303602899,1,1,0.389955753985569
"13960",302717118,1,2,1.21868932164009
"45037",303689226,1,2,2.50604003083809
"49981",304053451,1,2,1.48855831793971
"49360",303994473,1,1,0.794937242611492
"20973",303060530,2,2,0.274058664058257
"11401",302630481,1,1,1.67832628703777
"49457",303999567,2,2,0.359545946024029
"61910",305177238,1,1,0.761178288746549
"63798",305706552,3,1,1.57280133644108
"50889",304097206,1,2,1.10365316140178
"1333",302392609,1,1,0.511860152102421
"49709",304015232,1,1,0.533219058917887
"8660",302580413,1,1,0.318173317680403
"29357",303252410,1,2,0.531767325851769
"16525",302818552,1,2,1.17105101611602
"63796",305705639,1,2,0.767300900065892
"23307",303160354,3,2,0.585255833708025
"53082",304236860,1,2,0.665652621251821
"3575",302513329,1,2,1.61115438765302
"10354",302609051,6,2,1.24920110466324
"17060",302842972,1,1,0.608181941905201
"4945",302528226,1,2,0.890931651463742
"58258",304674101,1,1,1.5081197010775
"60523",304957201,1,1,0.573935262716615
"5426",302534587,5,1,0.271339895588986
"60663",304957654,1,1,0.2237636060742
